date,TD,BMO,BNS,RBC,CM
2015-12-11,38.790000915527344,56.22999954223633,40.779998779296875,65.54000091552734,33.525001525878906
2015-12-14,38.7400016784668,56.04999923706055,40.5,66.089996337890625,33.560001373291016
2015-12-15,39.22999954223633,57.209999084472656,41.150001525878906,65.19999694824219,33.84000015258789
2015-12-16,39.93000030517578,57.630001068115234,41.47999954223633,66.11000061035156,34.15999984741211
2015-12-17,39.33000183105469,56.58000183105469,40.970001220703125,65.12999725341797,33.69499969482422
2015-12-18,39.220001220703125,56.400001525878906,40.31999969482422,63.970001220703125,33.165000915527344
2015-12-21,39.22999954223633,56.38999938964844,40.29999923706055,64.0999984741211,33.095001220703125
2015-12-22,39.18000030517578,55.93000030517578,40.45000076293945,64.31999969482422,33.3650016784668
2015-12-23,39.58000183105469,56.47999954223633,41.45000076293945,65.970001220703125,33.869998931884766
2015-12-24,39.72999954223633,56.79999923706055,41.83000183105469,66.48999786376953,33.59000015258789
2015-12-28,39.45000076293945,56.400001525878906,41.369998931884766,67.0199966430664,33.095001220703125
2015-12-29,40.02000045776367,57.540000915527344,42.08000183105469,67.04000091552734,33.64500045776367
2015-12-30,39.599998474121094,56.79999923706055,41.540000915527344,66.05000305175781,33.255001068115234
2015-12-31,39.16999816894531,56.41999816894531,40.439998626708984,64.589996337890625,32.935001373291016
2016-01-04,38.560001373291016,55.040000915527344,39.86000061035156,62.130001068115234,32.869998931884766
2016-01-05,38.2599983215332,54.77000045776367,40.13999938964844,62.369998931884766,32.82500076293945
2016-01-06,37.04999923706055,53.189998626708984,39.16999816894531,61.779998779296875,32.404998779296875
2016-01-07,36.220001220703125,52.150001525878906,38.529998779296875,60.65999984741211,31.795000076293945
2016-01-08,36.060001373291016,51.939998626708984,38.54999923706055,59.63999938964844,31.5
2016-01-11,36.09000015258789,51.689998626708984,38.06999969482422,60.560001373291016,31.184999465942383
2016-01-12,36.72999954223633,52.0099983215332,37.90999984741211,61.459999084472656,31.15999984741211
2016-01-13,35.88999938964844,50.189998626708984,36.939998626708984,59.779998779296875,30.190000534057617
2016-01-14,35.68000030517578,50.81999969482422,37.31999969482422,59.45000076293945,30.1200008392334
2016-01-15,34.040000915527344,48.790000915527344,36,58.119998931884766,29.209999084472656
2016-01-19,34.540000915527344,48.939998626708984,36.54999923706055,56.81999969482422,29.46500015258789
2016-01-20,34.08000183105469,48.400001525878906,35.79999923706055,57.09000015258789,28.770000457763672
2016-01-21,35.119998931884766,49.689998626708984,36.90999984741211,56.29999923706055,29.610000610351562
2016-01-22,36.4900016784668,52.08000183105469,38.45000076293945,57.099998474121094,31.110000610351562
2016-01-25,35.150001525878906,50.25,37.08000183105469,55.279998779296875,29.985000610351562
2016-01-26,36.119998931884766,51.66999816894531,37.81999969482422,57.0099983215332,30.864999771118164
2016-01-27,36.630001068115234,52.5099983215332,38.470001220703125,56.279998779296875,31.09000015258789
2016-01-28,37.52000045776367,53.040000915527344,40.150001525878906,56.06999969482422,32.084999084472656
2016-01-29,37.84000015258789,53.52000045776367,40.84000015258789,59.33000183105469,32.42499923706055
2016-02-01,37.52000045776367,53.29999923706055,40.45000076293945,57.25,32.41999816894531
2016-02-02,36.95000076293945,52.41999816894531,39.59000015258789,55.63999938964844,31.739999771118164
2016-02-03,37.689998626708984,53.72999954223633,40.5,58.25,32.334999084472656
2016-02-04,38.279998779296875,54.209999084472656,41.34000015258789,59.970001220703125,32.70000076293945
2016-02-05,37.66999816894531,53.43000030517578,40.86000061035156,59.040000915527344,32.20000076293945
2016-02-08,36.970001220703125,52.810001373291016,39.97999954223633,59.93000030517578,31.7549991607666
2016-02-09,36.22999954223633,51.5099983215332,38.9900016784668,59.16999816894531,31.05500030517578
2016-02-10,35.68000030517578,50.4900016784668,37.779998779296875,58.790000915527344,30.405000686645508
2016-02-11,35.2400016784668,49.97999954223633,37.36000061035156,59.59000015258789,29.93000030517578
2016-02-12,36.650001525878906,51.84000015258789,38.97999954223633,60.150001525878906,31.360000610351562
2016-02-16,37.369998931884766,52.68000030517578,39.65999984741211,61.25,32.04999923706055
2016-02-17,38.34000015258789,54.470001220703125,41.02000045776367,62.040000915527344,33.14500045776367
2016-02-18,38.2599983215332,54.290000915527344,40.970001220703125,61.79999923706055,33.1349983215332
2016-02-19,38.060001373291016,54.0099983215332,40.65999984741211,61.97999954223633,32.875
2016-02-22,38.130001068115234,53.970001220703125,40.52000045776367,62.13999938964844,32.810001373291016
2016-02-23,37.90999984741211,53.470001220703125,39.79999923706055,61.61000061035156,32.40999984741211
2016-02-24,37.439998626708984,53.470001220703125,39.130001068115234,62.459999084472656,31.989999771118164
2016-02-25,38.310001373291016,54.20000076293945,39.54999923706055,63.2400016784668,33.150001525878906
2016-02-26,38.66999816894531,54.81999969482422,39.959999084472656,64.33000183105469,33.279998779296875
2016-02-29,38.65999984741211,55.02000045776367,40,63.70000076293945,33.14500045776367
2016-03-01,39.75,56.59000015258789,43.130001068115234,64.62000274658203,34.084999084472656
2016-03-02,39.630001068115234,56.380001068115234,43.02000045776367,64.720001220703125,34.349998474121094
2016-03-03,39.91999816894531,56.970001220703125,43.7400016784668,65.70999908447266,34.595001220703125
2016-03-04,40.290000915527344,57.220001220703125,44.65999984741211,66.7300033569336,34.82500076293945
2016-03-07,40.849998474121094,57.529998779296875,45.61000061035156,67.9000015258789,35.41999816894531
2016-03-08,40.70000076293945,57.5,45.650001525878906,67.48999786376953,35.494998931884766
2016-03-09,41.40999984741211,58.540000915527344,46.63999938964844,67.37999725341797,36.095001220703125
2016-03-10,40.939998626708984,58.130001068115234,46.150001525878906,67.339996337890625,35.85499954223633
2016-03-11,41.650001525878906,59.150001525878906,47.08000183105469,68.87000274658203,36.654998779296875
2016-03-14,41.470001220703125,58.880001068115234,46.779998779296875,69,36.650001525878906
2016-03-15,41.439998626708984,58.75,46.65999984741211,68.86000061035156,36.47999954223633
2016-03-16,42.2400016784668,59.790000915527344,47.58000183105469,70.0199966430664,37
2016-03-17,43.060001373291016,61.04999923706055,49.16999816894531,72.089996337890625,38.064998626708984
